REGION,FUEL,YEAR,VALUE
REGION1,PWRSOL,2025,0
REGION1,PWRURN,2025,0
REGION1,PWRWATBC1,2025,0
REGION1,PWRWND,2025,0
REGION1,RESBIO,2025,0
REGION1,RESELCB02,2025,82.68
REGION1,RESKER,2025,0
REGION1,RESNGS,2025,0
REGION1,SOL,2025,0
REGION1,TRABIO,2025,0
REGION1,TRADSL,2025,0
REGION1,TRAELCB02,2025,4.06
REGION1,TRAGSL,2025,0
REGION1,TRAHFO,2025,0
REGION1,TRAJFL,2025,0
REGION1,TRALPG,2025,0
REGION1,TRANGS,2025,0
REGION1,URN,2025,0
REGION1,WND,2025,0
REGION1,WTREVTBC1,2025,0
REGION1,WTRGRCBC1,2025,0
REGION1,WTRPRCBC1,2025,0
REGION1,WTRSURBC1,2025,0
REGION1,AGRDSL,2026,0
REGION1,AGRELCB02,2026,0
REGION1,AGRNGS,2026,0
REGION1,AGRWATBC1,2026,0
REGION1,BIO,2026,0
REGION1,COA,2026,0
REGION1,COMBIO,2026,0
REGION1,COMELCB02,2026,62.53
REGION1,COMKER,2026,0
REGION1,COMNGS,2026,0
REGION1,CRPALF,2026,0
REGION1,CRPBRL,2026,0
REGION1,CRPMAI,2026,0
REGION1,CRPOAT,2026,0
REGION1,CRPOTH,2026,0
REGION1,CRPPEA,2026,0
REGION1,CRPPTW,2026,0
REGION1,CRPRAP,2026,0
REGION1,CRPRYE,2026,0
REGION1,CRPWHE,2026,0
REGION1,CRU,2026,0
REGION1,DSL,2026,0
REGION1,ELCB01,2026,0
REGION1,ELCB02,2026,0
REGION1,GEO,2026,0
REGION1,GSL,2026,0
REGION1,HFO,2026,0
REGION1,HYD,2026,0
REGION1,INDBIO,2026,0
REGION1,INDDSL,2026,0
REGION1,INDELCB02,2026,109.61
REGION1,INDNGS,2026,0
REGION1,JFL,2026,0
REGION1,KER,2026,0
REGION1,LALFHIBC1,2026,0
REGION1,LALFHRBC1,2026,0
REGION1,LALFIIBC1,2026,0
REGION1,LALFIRBC1,2026,0
REGION1,LALFLRBC1,2026,0
REGION1,LBARBC1,2026,0
REGION1,LBC1,2026,0
REGION1,LBLTBC1,2026,0
REGION1,LBRLHIBC1,2026,0
REGION1,LBRLHRBC1,2026,0
REGION1,LBRLIIBC1,2026,0
REGION1,LBRLIRBC1,2026,0
REGION1,LBRLLRBC1,2026,0
REGION1,LFORBC1,2026,0
REGION1,LGRSBC1,2026,0
REGION1,LMAIHIBC1,2026,0
REGION1,LMAIHRBC1,2026,0
