REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,LNDAGRBC1C05,SEA1N,2049,1
REGION1,LNDAGRBC1C05,SEA2D,2049,1
REGION1,LNDAGRBC1C05,SEA2N,2049,1
REGION1,LNDAGRBC1C05,SEA3D,2049,1
REGION1,LNDAGRBC1C05,SEA3N,2049,1
REGION1,LNDAGRBC1C05,SEA4D,2049,1
REGION1,LNDAGRBC1C05,SEA4N,2049,1
REGION1,LNDAGRBC1C05,SEA1D,2050,1
REGION1,LNDAGRBC1C05,SEA1N,2050,1
REGION1,LNDAGRBC1C05,SEA2D,2050,1
REGION1,LNDAGRBC1C05,SEA2N,2050,1
REGION1,LNDAGRBC1C05,SEA3D,2050,1
REGION1,LNDAGRBC1C05,SEA3N,2050,1
REGION1,LNDAGRBC1C05,SEA4D,2050,1
REGION1,LNDAGRBC1C05,SEA4N,2050,1
REGION1,LNDAGRBC1C06,SEA1D,2020,1
REGION1,LNDAGRBC1C06,SEA1N,2020,1
REGION1,LNDAGRBC1C06,SEA2D,2020,1
REGION1,LNDAGRBC1C06,SEA2N,2020,1
REGION1,LNDAGRBC1C06,SEA3D,2020,1
REGION1,LNDAGRBC1C06,SEA3N,2020,1
REGION1,LNDAGRBC1C06,SEA4D,2020,1
REGION1,LNDAGRBC1C06,SEA4N,2020,1
REGION1,LNDAGRBC1C06,SEA1D,2021,1
REGION1,LNDAGRBC1C06,SEA1N,2021,1
REGION1,LNDAGRBC1C06,SEA2D,2021,1
REGION1,LNDAGRBC1C06,SEA2N,2021,1
REGION1,LNDAGRBC1C06,SEA3D,2021,1
REGION1,LNDAGRBC1C06,SEA3N,2021,1
REGION1,LNDAGRBC1C06,SEA4D,2021,1
REGION1,LNDAGRBC1C06,SEA4N,2021,1
REGION1,LNDAGRBC1C06,SEA1D,2022,1
REGION1,LNDAGRBC1C06,SEA1N,2022,1
REGION1,LNDAGRBC1C06,SEA2D,2022,1
REGION1,LNDAGRBC1C06,SEA2N,2022,1
REGION1,LNDAGRBC1C06,SEA3D,2022,1
REGION1,LNDAGRBC1C06,SEA3N,2022,1
